PrandtlRib3 airfoil
1.000000000 0.014957340
0.960910000 0.015902561
0.948330000 0.016666416
0.935710000 0.017819356
0.923070000 0.019313977
0.897780000 0.022764313
0.885150000 0.024658468
0.847280000 0.031440172
0.822060000 0.036178864
0.809440000 0.038577565
0.796830000 0.040952893
0.784220000 0.043311555
0.771600000 0.045659595
0.733740000 0.052605543
0.721120000 0.054879839
0.695870000 0.059369494
0.683250000 0.061576422
0.670630000 0.063759031
0.658010000 0.065912207
0.620170000 0.072180275
0.607560000 0.074193078
0.594950000 0.076153964
0.569750000 0.079924625
0.557150000 0.081710838
0.544550000 0.083436703
0.506780000 0.088094278
0.494200000 0.089447187
0.481620000 0.090713331
0.469040000 0.091859301
0.431320000 0.094596716
0.406200000 0.095832037
0.381080000 0.096499305
0.368530000 0.096602576
0.355990000 0.096552164
0.343460000 0.096426259
0.330930000 0.096180569
0.293420000 0.094308703
0.268480000 0.092326297
0.256040000 0.091100406
0.243620000 0.089749304
0.231220000 0.088236032
0.218850000 0.086580401
0.206520000 0.084755372
0.157620000 0.075804372
0.145540000 0.073112512
0.133550000 0.070234236
0.121660000 0.067145755
0.098250000 0.060255272
0.075560000 0.052367666
0.064600000 0.048037350
0.034520000 0.033087123
0.026190000 0.028201230
0.019250000 0.023406463
0.013840000 0.018606883
0.006810000 0.010887974
0.004600000 0.008208831
0.001740000 0.004712457
0.000280000 0.001102104
0.000020000 0.000096134
0.000000000 0.000000000
0.000020000 -0.000133785
0.000280000 -0.001652513
0.001740000 -0.006245507
0.004600000 -0.008985384
0.006810000 -0.010512045
0.013840000 -0.013899914
0.019250000 -0.015891581
0.026190000 -0.018084899
0.034520000 -0.020201539
0.064600000 -0.024404852
0.075560000 -0.025378232
0.098250000 -0.026670936
0.121660000 -0.027408207
0.133550000 -0.027579929
0.145540000 -0.027692901
0.157620000 -0.027698721
0.206520000 -0.027044285
0.218850000 -0.026743840
0.231220000 -0.026408537
0.243620000 -0.026032116
0.256040000 -0.025626464
0.268480000 -0.025187805
0.293420000 -0.024248359
0.330930000 -0.022692385
0.343460000 -0.022146106
0.355990000 -0.021595436
0.368530000 -0.021035472
0.381080000 -0.020463774
0.406200000 -0.019298059
0.431320000 -0.018124809
0.469040000 -0.016371368
0.481620000 -0.015785534
0.494200000 -0.015201115
0.506780000 -0.014622850
0.544550000 -0.012920363
0.557150000 -0.012363985
0.569750000 -0.011814773
0.594950000 -0.010737016
0.607560000 -0.010209300
0.620170000 -0.009689666
0.658010000 -0.008184823
0.670630000 -0.007706347
0.683250000 -0.007240262
0.695870000 -0.006785634
0.721120000 -0.005908889
0.733740000 -0.005487682
0.771600000 -0.004305430
0.784220000 -0.003936859
0.796830000 -0.003577868
0.809440000 -0.003242749
0.822060000 -0.002914598
0.847280000 -0.001783483
0.885150000 0.000778906
0.897780000 0.001778544
0.923070000 0.004357872
0.935710000 0.005904483
0.948330000 0.007514281
0.960910000 0.009148394
1.000000000 0.014957340
